group_no,centric_point_long,centric_point_lat
414,128.5793611111111,35.86907222222222
415,128.5794889,35.8683703
416,128.70922777777776,35.836925
417,128.5817015,35.8691164
418,128.57919444444445,35.86844166666667
419,128.5791625,35.86892916666666
420,128.5796513888889,35.86882361111111
421,128.58210833333334,35.868630555555555
422,128.58216944444445,35.869172222222225
423,128.5803388888889,35.86966388888889
424,128.7359,35.82213333333333
425,128.5795501,35.8694325
426,128.5797195,35.8685581
427,128.58114722222223,35.87003611111111
428,128.58032109972223,35.869831599722225
429,128.5817111111111,35.86893888888889
430,128.5799111111111,35.868877777777776
431,128.58193399972222,35.869843099722225
432,128.58193888888889,35.86868611111111
433,128.58117777777778,35.86896388888889
434,128.57978888888888,35.86893333333333
435,128.5811764,35.8693164
436,128.58125649972223,35.869106799722225
437,128.58204722222223,35.869236111111114
438,128.5790776,35.86868809972222
439,128.7360222222222,35.82149444444445
440,128.58155,35.868634722222225
441,128.57955833333332,35.869213888888886
442,128.5821388888889,35.868697222222224
443,128.73586944444443,35.822269444444444
444,128.58156529972223,35.8698131
445,128.58117777777778,35.86967777777778
446,128.57926944444444,35.86889166666667
447,128.58133055555555,35.86869444444444
448,128.58203055555555,35.86873333333333
449,128.58190833333333,35.86869444444444
450,128.5812222222222,35.86960277777778
451,128.5821222222222,35.86836111111111
452,128.58057669972223,35.8697407
453,128.5793,35.868972222222226
454,128.58149722222223,35.869397222222226
455,128.5793466,35.8681057
456,128.5802,35.86869444444444
457,128.58120969972222,35.8687289
458,128.5811299,35.86979159972222
